Ligne;Ligne Q qualif;Ligne approfondissement Accident;ACCIDENT;NBACC1;ACCFREQUENCE1;ANNEEACC1_1;ANNEEACC1_2;ANNEEACC1_3;ANNEEACC1_4;ANNEEACC1_5;NBACC2;ACCFREQUENCE2;ANNEEACC2_1;ANNEEACC2_2;ANNEEACC2_3;ANNEEACC2_4;ANNEEACC2_5;NBACC3;ACCFREQUENCE3;ANNEEACC3_1;ANNEEACC3_2;ANNEEACC3_3;ANNEEACC3_4;ANNEEACC3_5;NBACC4;ACCFREQUENCE4;ANNEEACC4_1;ANNEEACC4_2;ANNEEACC4_3;ANNEEACC4_4;ANNEEACC4_5;NBACC5;ACCFREQUENCE5;ANNEEACC5_1;ANNEEACC5_2;ANNEEACC5_3;ANNEEACC5_4;ANNEEACC5_5;NBACC6;ACCFREQUENCE6;ANNEEACC6_1;ANNEEACC6_2;ANNEEACC6_3;ANNEEACC6_4;ANNEEACC6_5;NBACC7;ACCFREQUENCE7;ANNEEACC7_1;ANNEEACC7_2;ANNEEACC7_3;ANNEEACC7_4;ANNEEACC7_5;NBACC8;ACCFREQUENCE8;ANNEEACC8_1;ANNEEACC8_2;ANNEEACC8_3;ANNEEACC8_4;ANNEEACC8_5;NBACC9;ACCFREQUENCE9;ANNEEACC9_1;ANNEEACC9_2;ANNEEACC9_3;ANNEEACC9_4;ANNEEACC9_5;NBACC10;ACCFREQUENCE10;ANNEEACC10_1;ANNEEACC10_2;ANNEEACC10_3;ANNEEACC10_4;ANNEEACC10_5;NBACC11;ACCFREQUENCE11;ANNEEACC11_1;ANNEEACC11_2;ANNEEACC11_3;ANNEEACC11_4;ANNEEACC11_5;NBACC12;ACCFREQUENCE12;ANNEEACC12_1;ANNEEACC12_2;ANNEEACC12_3;ANNEEACC12_4;ANNEEACC12_5;NBACC13;ACCFREQUENCE13;ANNEEACC13_1;ANNEEACC13_2;ANNEEACC13_3;ANNEEACC13_4;ANNEEACC13_5;NBACC14;ACCFREQUENCE14;ANNEEACC14_1;ANNEEACC14_2;ANNEEACC14_3;ANNEEACC14_4;ANNEEACC14_5;AUTRESACC;NBAUTRESACC;ANNEEAUTREACC1;ANNEEAUTREACC2;ANNEEAUTREACC3;ANNEEAUTREACC4;ANNEEAUTREACC5;LIEUAUTREACC1;LIEUAUTREACC2;LIEUAUTREACC3;LIEUAUTREACC4;LIEUAUTREACC5;DESCRIPTIONAUTRESACC1;DESCRIPTIONAUTRESACC2;DESCRIPTIONAUTRESACC3;DESCRIPTIONAUTRESACC4;DESCRIPTIONAUTRESACC5;NBAUTRESACCCIRCUIT;NBAUTRESTOUTTERRAIN;EXPCYCLO;EXP125;EXPSUP125;ACCORDNEXTQ;CHOIXACC;RGPMTACC;RECUPANNEE;RECUPLIEU;RECUPANNE;RGPMTAC;CHOIX1;CHOIX2;CHOIX3;CHOIX4;CHOIX5;CHOIX6;CHOIX7;DESCRIPTION;RUPTURE;FAITS;ABS_REACTION;AUTRE_REACTION;PRECISIONREACTIONOUI;RECUL;PRECISIONREACTIONNON;IMPACTCOMPORTEMENT;AUTREUSAGER;REACTIONAUTREUSAGER;CONNAISSANCEREACTIONUSAGER;DIFFICULTES;AGGRAVATION;DIFFICULTES2;EMOTIONS1;EMOTIONS2;EMOTIONS3;EMOTIONS4;EMOTIONS5;EMOTIONS6;AUTRESENTIMENT;CLASSEMENTEMOTIONS1;CLASSEMENTEMOTIONS;CLASSEMENTEMOTIONS5;CLASSEMENTEMOTIONS6;CLASSEMENTEMOTIONS7;CLASSEMENTEMOTIONS8;CLASSEMENTEMOTIONS9;EXPLICATIONRESSENTI;BIENEQUIPE;ALLURE;ALLUREVITEDETAIL;ALLURELENTEDETAIL;SITUATIONPRESSE;SITUATIONDISTRAIT;SITUATIONCONFIANT;SITUATIONCONTROLE;SITUATIONLUDIQUE;SITUATIONPERF;SITUATIONSTRESS;SITUATIONFATIGUE;HUMEURNEUTRE;HUMEURGAI;HUMEURMECONTENT;HUMEURTRISTE;HUMEURCOLERE;CONTRIBUTION1;CONTRIBUTION2;CONTRIBUTION3;CONTRIBUTION4;CONTRIBUTION5;CONTRIBUTION6;CONTRIBUTION7;CONTRIBUTION8;CONTRIBUTION9;ROLEINFRA;ELEMENTINFRA1;ELEMENTINFRA2;ELEMENTINFRA3;ELEMENTINFRA4;ELEMENTINFRA5;ELEMENTINFRA6;ELEMENTINFRA7;ELEMENTINFRA8;ELEMENTINFRA9;ALCOOL;TXALCOOL;STUP;SEMAINE;MOMENTJOURNEE;TEMPS;CAUSEACC1;CAUSEACC2;CAUSEACC3;CAUSEACC4;CAUSEACC5;FORMATIONCAUSE;FORMATION1;FORMATION2;FORMATION3;FORMATION4;FORMATION5;TRAFIC;CHAUSSEE1;CHAUSSEE2;CHAUSSEE3;CHAUSSEE4;TYPEACC;BLESSURE;TETE;COU;THORAX;MEMBRESSUP;COLONNE;BASSIN;MEMBRESINF;HOPITAL;PLUS24H;TRAJET;TYPEROUTE;MOTIF;SENSTRAJET;PASSAGER;VITESSE;DESCEQ1;DESCEQ2;DESCEQ3;DESCEQ4;DESCEQ5;DESCEQ6;DESCEQ7;DESCEQ8;DESCEQ9;DESCEQ10;VEHICULEETE;VEHICULEAUTOMNE;VEHICULEPRINTEMPS;VEHICULEHIVER;VEHICULESEMAINE;VEHICULEWE;VEHMARQUE;VEHCYLINDREE;VEHMODELE;VEHSEGMENT;VEHSIDE;EQ2RMABS;EQ2RMCBS;EQ2RMABSCBS;EQ2RMREGULATEUR;EQ2RMLIMITEUR;EQ2RMPHARESDIRECT;EQ2RMCOUPURE;EQ2RMANTIPATINAGE;EQ2RMANTIXHEELING;EQ2RMSTABILILTE;VEHKM;POINTS;DUREE;AUTRE2RM;VEHPRECMARQUE;VEHPRECCYLINDREE;VEHPRECMODELE;VEHPRECSEGMENT;VEHPRECSIDE;TEMPS2RMPREC;FREQVEHPREC;DATE_NAISS;CSP;SOCIETAIRE;SALARIE;SECTEUR2RM;NBPERSFOYER;SITFAM;NBENF;TRNBENF1;TRNBENF2;TRNBENF3;TRNBENF4;NBAUTOFOYER;NBCYCLOFOYER;NBSCOOTFOYER;NBMOTOFOYER;NBTRIKEFOYER;NB2RMCONDUIT;MARQUE1;CYLINDREE1;MODELE1;SEGMENT1;SIDE1;ANMISECIRCU1;ASS1;FREQ1;USAGE1;NBKM1;GARAGE1;MARQUE2;CYLINDREE2;MODELE2;SEGMENT2;SIDE2;ANMISECIRCU2;ASS2;FREQ2;USAGE2;NBKM2;GARAGE2;MARQUE3;CYLINDREE3;MODELE3;SEGMENT3;SIDE3;ANMISECIRCU3;ASS3;FREQ3;USAGE3;NBKM3;GARAGE3;MARQUE4;CYLINDREE4;MODELE4;SEGMENT4;SIDE4;ANMISECIRCU4;ASS4;FREQ4;USAGE4;NBKM4;GARAGE4;MARQUE5;CYLINDREE5;MODELE5;SEGMENT5;SIDE5;ANMISECIRCU5;ASS5;FREQ5;USAGE5;NBKM5;GARAGE5;NBKMTOT;PERMIS1;PERMIS2;PERMIS3;PERMIS4;PERMIS5;PERMIS6;PERMIS7;PERMIS8;PERMIS9;ANPERMIS1;ANPERMIS6;ANPERMIS7;ANPERMIS2;ANPERMIS3;ANPERMIS8;ANPERMIS9;ANPERMIS4;ANPERMIS5
840;4796;140;1;0;3;;;;;;0;3;;;;;;0;4;;;;;;0;2;;;;;;0;4;;;;;;0;2;;;;;;0;3;;;;;;1;3;2006;;;;;0;2;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;2;;;;;;0;3;;;;;;0;;;;;;;;;;;;;;;;;;;24;3;12;1;36;8;2006;;2006;Vous avez fait une sortie de route, une perte de contrôle ou une glissade puis avez percuté un obstacle fixe (panneau, arbre poteau …).;1;;;;;;;"en quittant une route principale pour prendre une route secondaire à droite, je me suis retrouvé brusquement sur un tapis de gravillon frais. Etant déjà penché à droite lorsque que j'ai constaté ce revêtement, lorsque j'ai ralenti et légèrement freiné de l'arrière, le cul de la moto est parti en dérapage et j'ai fais un 180° et n'ai pas eu d'autre choix que de ""déposer"" la moto face avant dans le fossé et en appui sur le muret de la propriété jouxtant le fossé. De la casse malgré la très faible vitesse, mais pas de bobo pour moi.Le gravillon était signalé par un premier panneau 20m avant (au lieu de 150m)mais celui ci était tombé au sol face contre terre et un second placé 2 ou 3 m après le début des gravillons. Bien évidement et malgré un dossier bien construit par mes soins, l'assurance m'a pénalisé d'un malus pour non maitrise du véhicule(assuré tous risques). Alors que les torts me semble t il incombaient à la DDE de l'époque.";deux éléments, les panneaux non voyants et les gravillons en virage;ma réaction(j'étais en seconde vitesse) fut de décélérer puis de freiner de l'arrière légèrement. Pas d'autre usager impliqué;NRP;0;;;parce qu'il fallait que tourne a droite, que je m'arrête et que j'évite le véhicule arrivant en face;3;0;;;;;;4;;;;;;;;;;1;;;;parce que j'étais, comme à mon habitude, concentré sur ma conduite. Même si j'ai pour habitude d'anticiper ce que j'organise dans ma vie ou mon travail à l'époque, je suis capable de gérer l'instantané sans perdre mon sang froid. cela peut paraitre vaniteux mais c'est pourtant comme ça.;4;3;;;1;1;4;4;3;1;1;1;1;3;4;4;4;7;;;;;;;;;1;2;5;6;7;;;;;2;2;;2;1;1;1;20;0;0;80;0;2;;;;;;3;1;4;;;1;;;;;;;;;;;1;2;1;1;0;20;1;2;3;4;7;9;;;;;4;4;4;4;4;4;HONDA;650;DEAUVILLE;Routière / GT;2;1;0;1;1;1;1;1;1;1;1;50000;12;4;1;YAMAHA;125;XV VIRAGO;CUSTOM;2;4;4;19DEC1954;9;2;3;2;2;3;;NRP;;;;1;0;0;1;0;1;BMW;1100;R1100RT;Routière / GT;2;1994;28;1;2;10000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2003;NRP;NRP;1982;NRP
593;4799;114;1;0;5;;;;;;0;6;;;;;;0;6;;;;;;0;5;;;;;;0;5;;;;;;0;5;;;;;;0;3;;;;;;0;4;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;0;2;;;;;;0;6;;;;;;0;4;;;;;;1;2;2000;2004;;;;aix en provence;salon de proven;;;;sur autoroute un automobiliste en me doublant m'a percuté.;un automobiliste m'a percuté par l'arriere en voulant tourner téléphone à la main.;;;;0;0;4;6;30;1;72;15;2004;salon de proven;2004;Autre(s) type(s) d'accident(s).;4;;;;;;;Nous circulions ma femme et moi sur notre moto (1000 varadero) a petite vitesse. Une voiture nous a percuter par l'arrière de la moto .La chute inévitable ,nous a fait connaitre les urgences a l'hôpital de Salon de Provence. La conductrice coupable téléphoner... Constat etabli par la gendarmerie.;l'élément coupable: La conductrice téléphoner en conduisant.;Aprés le choc par l'arrière,nous avons chutés tout les deux au sol .des passants on appeler les pompiers et la gendarmeries. L'automobiliste coupable est resté sans rien faire.;3;0;;;le choc par l'arrière de mon véhicule.;1;0;;;;;;6;;;;;;;;;;;;1;;Quand on est poussé par l'arrière...;4;3;;;1;1;4;4;NSP;1;1;1;1;1;4;4;4;7;;;;;;;;;2;;;;;;;;;2;2;;2;1;1;1;0;100;0;0;0;2;;;;;;2;1;;;;2;1;3;7;;;;;;1;1;2;1;3;;1;30;1;10;2;3;4;7;;;;;4;4;4;NRP;4;4;HONDA;1000;VARADERO;TRAIL / SUPERMOTARD;2;1;1;1;1;1;1;1;1;1;1;1000;12;2;1;HONDA;650;DEAUVILLE;Routière / GT;2;4;4;27JAN1951;9;1;3;2;2;3;;NRP;;;;2;0;0;1;0;1;SUZUKI;1400;GSX;ROADSTER;2;2005;37;2;1;10000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;2;3;4;;;;;;;NRP;NRP;NRP;1967;1967;NRP;NRP;1969;NRP
1709;4802;;1;0;2;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;0;1;;;;;;0;4;;;;;;0;4;;;;;;1;5;2006;;;;;0;4;;;;;;0;5;;;;;;0;2;;;;;;0;6;;;;;;0;5;;;;;;1;1;2007;;;;;Compiègne;;;;;Sur une route départementale à l'approche d'un embranchement, je roulais derrière un cycliste qui tenait bien sa droite, j'étais décalé sur sa gauche et je roulais à 50 et lui à 10 ou 15, quand juste sous mon nez il a brusquement tourné à gauche pour bifurquer, sans avoir regardé derrière lui ni signalé sa manoeuvre en tendant le bras, il devait se croire seul. Pour ne pas percuter son vélo par l'arrière, j'ai par réflexe dévié ma trajectoire sur ma droite tout en sautant sur mes freins pour ne pas partir dans le fossé. J'ai bloqué la roue avant et suis tombé en longue glissade sur la chaussée. Dégâts matériels à la moto. Pas de blessure pour moi (vive le casque et le cuir !).;;;;;0;0;4;5;15;1;41;9;2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30JAN1948;5;1;3;2;2;3;;NRP;;;;1;0;0;2;0;2;HONDA;1200;VFR-F;Routière / GT;2;2010;37;2;1;9000;7;ROYAL ENFIELD;500;BULLET;ROADSTER;2;2006;37;4;1;1000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1968;NRP;NRP;2001;NRP
1958;4803;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24OCT1985;2;1;3;2;2;3;;NRP;;;;2;0;0;2;0;2;YAMAHA;600;FZ6-S FAZER;ROADSTER;2;2002;37;3;1;5000;7;YAMAHA;660;MT03;ROADSTER;2;2010;37;3;1;5000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2007;NRP;NRP;2006;NRP
309;4810;322;1;0;5;;;;;;0;4;;;;;;0;5;;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;1;4;NSP;;;;;1;5;2001;;;;;0;4;;;;;;0;3;;;;;;0;2;;;;;;0;5;;;;;;0;;;;;;;;;;;;;;;;;;;5;3;25;1;41;9;0;;-1;Vous avez fait une sortie de route, une perte de contrôle ou une glissade sans rien percuter.;2;;;;;;;Une inattention brève suivie d'une chute brutale.;un moment d'inattention, il y en a eu d'autres heureusement sans conséquence.;En fait, je ne tenais le guidon que d'une seule main et je n'ai pas eu le temps d'effectuer un freinage ou l'évitement d'un nid de poule qui a déséquilibré ma moto.;NRP;1;j'aurais dû à cet endroit où je savais la chaussée dégradée être plus attentif et surtout moins désinvolte.;Je pensais à autre chose.;;2;0;;;;;;3;;;;;;;;;1;;;;;je ne m'attendais pas à la chute, je pensais avoir le temps de redresser la situation.;3;3;;;2;4;3;2;2;1;1;2;1;3;5;5;5;4;5;;;;;;;;1;3;;;;;;;;2;2;;2;1;3;1;70;0;0;30;0;2;;;;;;1;1;7;;;1;;;;;;;;;;;2;1;3;;0;45;1;10;2;5;;;;;;;4;4;4;4;4;4;KAWASAKI;750;"GPZ ""ZX""";Routière / GT;2;1;1;1;1;1;1;1;1;1;1;NSP;12;4;1;MOTO GUZZI;850;850 LE MANS II;Routière / GT;2;3;4;02DEC1960;4;2;3;2;2;3;;NRP;;;;1;0;0;4;0;2;BMW;1000;K100LT;Routière / GT;2;1985;10;1;1;12000;2;MOTO GUZZI;850;LE MANS I;Routière / GT;2;1982;40;3;1;4000;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1981;NRP;NRP;1980;NRP
1264;4811;298;1;0;3;;;;;;0;3;;;;;;2;4;1976;1990;;;;0;2;;;;;;0;1;;;;;;0;3;;;;;;0;3;;;;;;0;4;;;;;;1;5;NSP;;;;;0;5;;;;;;0;4;;;;;;0;1;;;;;;0;2;;;;;;0;2;;;;;;0;;;;;;;;;;;;;;;;;;;2;0;38;1;11;3;1976;;1976;Vous remontiez une file de véhicules (à l’arrêt ou au ralenti) par la gauche. Un véhicule de cette file vous a coupé la route en tournant à gauche.;1;2;4;;;;;Dans les embouteillage, rue de Vaugirard, un conducteur aillant vu un parking au dernier moment , à tourner à gauche au moment ou je remontais la file.Ce monsieur était provincial donc peu habitué à la circulation en ville et au 2 roues;la soudaineté et l'impossibilité d'entissiper m'ont empeché toute manoeuvre d'évitement;NRP;AUT|pas le temps de la moindre réaction;0;;;pas le temps;2;1;2;;méconnaissance du lieu et de la circulation parisienne;1;quand on ne connait pas on doit faire plus attention;6;9;;;;;grosse monté d'adrénaline;;;;;;1;2;je n'ai pas eu le temps de faire quoi que ce soit;3;3;;;2;1;3;3;1;1;1;1;4;4;4;4;4;10;;;;;;;;;2;;;;;;;;;2;2;;2;1;1;1;0;100;0;0;0;2;;;;;;4;1;;;;2;1;7;;;;;;;1;1;1;1;1;1;0;25;1;10;2;3;4;;;;;;4;4;4;4;4;4;KREIDLER;50;FLORETT RM;Routière / GT;2;1;1;1;1;1;1;1;1;1;1;12000;12;3;0;;;;;;;;20MAY1958;2;1;3;2;4;4;2;NRP;;;;1;0;0;1;0;1;BMW;1200;R1200S;Routière / GT;2;2007;37;2;1;10000;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1977;NRP;NRP;1978;NRP
1735;4812;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;03NOV1960;7;2;3;2;2;3;;NRP;;;;1;0;0;1;0;1;HONDA;1800;GOLD WING;Routière / GT;2;2007;28;3;1;7000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7000;4;3;;;;;;;;NRP;NRP;NRP;NRP;1979;NRP;NRP;1980;NRP
1949;4813;;1;0;2;;;;;;0;4;;;;;;1;4;2003;;;;;0;3;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;2;5;2005;2008;;;;0;4;;;;;;0;5;;;;;;0;3;;;;;;1;5;2014;;;;;0;4;;;;;;0;;;;;;;;;;;;;;;;;;;4;0;15;1;42;9;2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28JUL1976;4;2;3;2;4;4;2;NRP;;;;1;1;1;1;0;2;DUCATI;796;MONSTER;ROADSTER;2;2011;18;2;2;7000;7;VESPA;250;GTS IE ABS;SCOOTER;2;2008;18;2;2;6000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2001;NRP;NRP;1995;NRP
1941;4814;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;06JAN1971;4;1;3;2;2;3;;NRP;;;;1;0;0;3;0;3;KAWASAKI;600;ZZR;Routière / GT;2;1990;37;2;1;6000;AUT|garage de maison individuel;DAELIM;125;DAYSTAR;CUSTOM;2;2008;10;1;2;4000;AUT|garage de maison individuelle;APRILIA;125;RS  EXTREMA;SPORTIVE;2;2007;37;4;1;10;AUT|dépot vente;;;;;;;;;;;;;;;;;;;;;;;10010;2;3;4;5;8;9;;;;NRP;NRP;NRP;2012;2012;2012;2012;1989;2011
1446;4815;;1;0;3;;;;;;0;4;;;;;;1;5;1980;;;;;0;4;;;;;;0;5;;;;;;0;2;;;;;;0;4;;;;;;2;4;1981;1982;;;;0;4;;;;;;1;4;1990;;;;;0;4;;;;;;0;2;;;;;;1;4;1992;;;;;1;2;1981;;;;;1;1;1990;;;;;Les Ulis;;;;;J'étais le long du trottoir à un stop donnant sur un rond point à deux voies. Une voiture s'est mise à coté de moi, au stop. Elle a démarré en premier en braquant fortement vers l'extérieur du rond point car une voiture arrivait sur sa gauche, intérieur rond point. La voiture m'a poussé latéralement, sur la jambe, me faisant tomber. Pas de dégâts sauf carénage et rétro égratigné. La voiture s'est arrêté un peu plus loin pour rapartir assitôt.;;;;;0;0;6;1;28;1;66;14;1981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14NOV1964;5;1;3;2;2;3;;NRP;;;;2;0;0;2;0;2;BMW;1200;R1200GS;TRAIL / SUPERMOTARD;2;2007;37;2;2;7000;7;SUZUKI;1100;GSX-R;SPORTIVE;2;1990;37;3;1;3000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1987;NRP;NRP;1983;NRP
1454;4816;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;07MAR1956;6;1;3;2;2;3;;NRP;;;;2;1;0;1;0;1;BMW;1200;R1200GS ABS;TRAIL / SUPERMOTARD;2;2004;37;1;2;15000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15000;3;4;;;;;;;;NRP;NRP;NRP;NRP;1992;NRP;NRP;1976;NRP
1850;4817;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16AUG1987;5;2;3;2;2;3;;NRP;;;;2;0;0;1;0;1;SUZUKI;650;BANDIT-N;ROADSTER;2;2006;29;2;2;5000;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5000;3;4;;;;;;;;NRP;NRP;NRP;NRP;2009;NRP;NRP;2005;NRP
813;4820;397;1;0;4;;;;;;0;6;;;;;;0;5;;;;;;0;5;;;;;;0;3;;;;;;0;3;;;;;;0;3;;;;;;1;5;1996;;;;;1;4;2003;;;;;0;5;;;;;;0;4;;;;;;0;3;;;;;;1;5;2014;;;;;0;2;;;;;;1;0;;;;;;;;;;;;;;;;0;0;5;1;25;1;61;13;2014;;2014;Vous circuliez derrière un véhicule. Ce véhicule a freiné ou a ralenti et vous l’avez percuté par l’arrière.;3;;;;;;;Je suivais une autre moto. La route d'un seul coup a été entierement gravillonnée. La moto devant moi a freiné. j'ai freiné aussi, mon ABS s'est déclenché et j'ai percuté le pneu arriere de l'autre moto avec mon pneu avant. Chute et des dégats materiels et genoux brulé à travers le pantalon déchiré.;Les gravillons;aucune autre conséquence pour les autres usagers;NRP;0;;;situation d'urgence;2;1;2;;NSP;2;seuls ma moto et moi sommes tombés.;6;;;;;;;;;;;;1;;je n'ai rien pu faire, sinon freiner. et l'abs a augmenté ma distance de freinage;3;3;;;1;2;2;3;2;1;1;1;1;1;4;4;4;4;;;;;;;;;1;3;AUT|gravillons;;;;;;;2;2;;2;2;1;1;0;0;0;100;0;2;;;;;;2;4;7;;;2;1;7;;;;;;;0;;3;2;3;;0;30;1;10;2;3;4;7;;;;;4;4;4;2;2;4;TRIUMPH;1050;SPRINT GT;Routière / GT;2;0;1;1;1;1;1;0;1;1;1;20000;6;4;1;BMW;1200;R1200S ABS;Routière / GT;2;3;3;22MAY1952;5;2;3;2;2;3;;NRP;;;;2;0;0;1;0;1;TRIUMPH;1050;SPRINT GT;Routière / GT;2;2011;29;2;1;10000;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10000;4;3;;;;;;;;NRP;NRP;NRP;NRP;1993;NRP;NRP;1971;NRP
